"Time (s)","X (hPa)"
9.550169958E1,1.033644562E3
9.642929858E1,1.033647232E3
9.735688058E1,1.033647232E3
9.828441058E1,1.033647232E3
9.921187558E1,1.033647232E3
1.001393706E2,1.033650970E3
1.010668086E2,1.033653030E3
1.019942846E2,1.033653870E3
1.029218306E2,1.033654022E3
1.038493766E2,1.033653870E3
1.047768816E2,1.033650284E3
1.057043876E2,1.033646927E3
1.066317826E2,1.033637161E3
1.075591916E2,1.033630905E3
1.084866226E2,1.033628159E3
1.094139876E2,1.033626862E3
1.103413276E2,1.033626862E3
1.112687846E2,1.033630066E3
1.121965256E2,1.033635712E3
1.131242586E2,1.033640900E3
1.140517716E2,1.033644791E3
1.149792186E2,1.033648682E3
1.159066696E2,1.033648682E3
1.168340636E2,1.033648376E3
1.177614096E2,1.033645782E3
1.186887296E2,1.033644638E3
1.196163336E2,1.033642807E3
1.205439926E2,1.033640900E3
1.214716436E2,1.033640213E3
1.223993226E2,1.033638382E3
1.233269716E2,1.033637772E3
1.242547216E2,1.033637085E3
1.251825236E2,1.033635025E3
1.261103866E2,1.033630447E3
1.270384616E2,1.033628235E3
1.279664846E2,1.033625336E3
1.288945796E2,1.033624344E3
1.298227056E2,1.033624344E3
1.307507306E2,1.033626175E3
1.316787436E2,1.033628387E3
1.326066756E2,1.033630142E3
1.335347866E2,1.033631287E3
1.344629006E2,1.033631287E3
1.353909826E2,1.033629456E3
1.363190116E2,1.033627853E3
1.372470506E2,1.033626099E3
1.381749856E2,1.033626099E3
1.391029336E2,1.033626251E3
1.400308526E2,1.033627396E3
1.409587106E2,1.033629837E3
1.418864166E2,1.033630829E3
1.428142416E2,1.033630905E3
1.437422856E2,1.033630905E3
1.446702186E2,1.033629761E3
1.455981846E2,1.033629761E3
1.465263446E2,1.033630524E3
1.474545816E2,1.033631134E3
1.483828726E2,1.033631897E3
1.493111706E2,1.033633499E3
1.502394916E2,1.033633499E3
1.511677956E2,1.033633499E3
1.520959896E2,1.033633575E3
1.530241346E2,1.033633575E3
1.539523016E2,1.033632431E3
1.548804636E2,1.033632431E3
1.558084846E2,1.033628540E3
1.567365346E2,1.033623734E3
1.576644876E2,1.033619919E3
1.585922986E2,1.033616791E3
1.595200866E2,1.033614426E3
1.604480776E2,1.033614426E3
1.613761946E2,1.033614807E3
1.623043056E2,1.033614807E3
1.632324236E2,1.033613434E3
1.641605506E2,1.033612671E3
1.650886126E2,1.033612671E3
1.660164876E2,1.033610306E3
1.669443036E2,1.033607559E3
1.678719686E2,1.033604355E3
1.687997036E2,1.033595734E3
1.697273566E2,1.033588562E3
1.706549026E2,1.033581619E3
1.715825686E2,1.033575897E3
1.725103366E2,1.033572464E3
1.734381596E2,1.033568497E3
1.743659726E2,1.033564301E3
1.752937316E2,1.033560181E3
1.762217716E2,1.033557816E3
1.771496716E2,1.033555527E3
1.780774636E2,1.033553543E3
1.790053416E2,1.033553162E3
1.799330646E2,1.033552170E3
1.808607756E2,1.033550720E3
1.817888336E2,1.033549500E3
1.827170286E2,1.033546600E3
1.836451766E2,1.033543015E3
1.845733706E2,1.033541946E3
1.855014856E2,1.033541946E3
1.864296496E2,1.033543777E3
1.873575796E2,1.033545151E3
1.882857866E2,1.033546219E3
1.892140256E2,1.033547363E3
1.901422776E2,1.033547363E3
1.910704956E2,1.033542175E3
1.919987226E2,1.033533936E3
1.929269306E2,1.033521805E3
1.938550516E2,1.033506012E3
1.947832506E2,1.033488541E3
1.957115616E2,1.033471527E3
1.966398066E2,1.033458099E3
1.975680176E2,1.033451004E3
1.984962556E2,1.033444443E3
1.994244416E2,1.033441315E3
2.003524866E2,1.033439407E3
2.012806146E2,1.033438568E3
2.022086836E2,1.033436050E3
2.031367116E2,1.033433456E3
2.040647776E2,1.033430481E3
2.049928856E2,1.033428116E3
2.059209826E2,1.033423538E3
2.068490366E2,1.033421021E3
2.077773766E2,1.033417511E3
2.087057276E2,1.033415222E3
