"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.429691000E0,-9.406604393E-1,-8.920016648E-1,-1.348165616E0
3.449607000E0,-1.037729189E0,-8.793885628E-1,-1.929871187E0
3.469523000E0,-1.059613709E0,-9.160663924E-1,-2.520406054E0
3.489439000E0,-9.997920886E-1,-1.057257428E0,-2.993170397E0
3.509355000E0,-9.314251276E-1,-1.243131935E0,-3.186576410E0
3.529269875E0,-7.699419882E-1,-1.471521547E0,-3.266441190E0
3.549186875E0,-6.320987032E-1,-1.678646590E0,-3.143350868E0
3.569101875E0,-5.670830738E-1,-1.829265895E0,-2.836760886E0
3.589018875E0,-2.924571155E-1,-1.848184707E0,-2.447260895E0
3.608934875E0,1.626971675E-1,-1.883127083E0,-1.679051363E0
3.628850875E0,4.892795107E-1,-1.954028082E0,-5.781551421E-1
3.648766875E0,3.739322915E-1,-1.923323475E0,3.493220186E-1
3.668682875E0,4.752587646E-2,-1.717911228E0,1.206356018E0
3.688598875E0,-3.823253118E-2,-1.418561999E0,2.003108148E0
3.708514875E0,-8.619599864E-3,-1.052212523E0,2.623530473E0
3.728430875E0,-1.075291264E-1,-5.883734438E-1,3.200203346E0
3.748346875E0,-1.741066933E-1,-7.908028437E-2,3.412110534E0
3.768262875E0,-3.529810600E-2,4.460909526E-1,3.319377787E0
3.788178875E0,-1.050023983E-1,7.142147340E-1,3.166087766E0
3.808094875E0,-3.706884755E-1,1.096048149E0,2.545210528E0
3.828010875E0,-1.005025200E0,1.358316528E0,1.896777701E0
3.847926875E0,-1.593840328E0,1.470643880E0,2.057665594E0
3.867842875E0,-1.972070250E0,1.533231307E0,2.090411171E0
3.887758875E0,-2.280056109E0,2.046551206E0,1.358763694E0
3.907674875E0,-1.933257017E0,1.671664576E0,2.827660865E-1
3.927590875E0,-1.462716079E0,1.225449955E0,-6.532316369E-1
3.947506875E0,-9.090376738E-1,6.947006750E-1,-1.449593757E0
3.967422875E0,-3.817287496E-1,2.512755411E-1,-2.313584189E0
3.987338875E0,3.376211554E-2,-1.274554141E-2,-2.930656060E0
4.007254875E0,2.260881481E-1,-1.987705778E-1,-3.407406449E0
4.027170875E0,2.863482369E-1,-3.370691782E-1,-3.611824524E0
4.047086875E0,4.156259358E-1,-3.413717057E-1,-3.590856993E0
4.067002875E0,5.130111663E-1,-3.067436175E-1,-3.366833205E0
4.086918875E0,4.389969644E-1,-1.763252000E-1,-2.873405972E0
4.106835875E0,4.284043678E-1,-6.216507521E-2,-2.396556764E0
4.126751875E0,5.789420311E-1,2.303532533E-2,-1.663118870E0
4.146667875E0,8.347681678E-1,-7.341614138E-2,-7.928438509E-1
4.166583875E0,9.897829711E-1,-2.427492409E-1,3.278832024E-1
4.186499875E0,8.317893769E-1,-3.351282681E-1,1.116181428E0
4.206415875E0,8.297398547E-1,-5.167362447E-1,1.576985291E0
4.226331875E0,8.547569476E-1,-6.286107659E-1,2.521640986E0
4.246247875E0,9.472582182E-1,-7.998300310E-1,3.020535366E0
4.266163875E0,1.222328857E0,-1.127344493E0,2.807703733E0
4.286079875E0,1.757968310E0,-1.468439626E0,2.817263930E0
4.305995875E0,1.579028600E0,-1.667288666E0,3.656663312E0
4.325911875E0,4.071604832E-1,-1.360183983E0,4.310184386E0
4.345827875E0,-4.420560084E-1,-9.586299562E-1,3.440459590E0
4.365743875E0,-6.907754391E-1,-8.239427058E-1,2.341089492E0
4.385659875E0,-5.246234442E-1,-1.007974828E0,1.747128741E0
4.405575875E0,-5.259909618E-1,-1.353288946E0,1.406745361E0
4.425491875E0,-5.735057285E-1,-1.578794712E0,6.264531434E-1
4.445407875E0,-5.177884877E-1,-1.713202904E0,-3.263494778E-1
4.465323875E0,-5.873805866E-1,-1.686578192E0,-1.067818522E0
4.485239875E0,-8.260566205E-1,-1.615535691E0,-1.632698731E0
4.505155875E0,-1.060797917E0,-1.487726374E0,-2.164194261E0
4.525072833E0,-1.270408173E0,-1.348374946E0,-2.649176946E0
4.544988833E0,-1.520937390E0,-1.262181579E0,-2.968029124E0
4.564904833E0,-1.754462904E0,-1.351568111E0,-2.970194348E0
4.584820833E0,-1.882900504E0,-1.418347114E0,-2.741134937E0
4.604737833E0,-1.879716403E0,-1.359607155E0,-2.500055990E0
4.624653833E0,-1.766221362E0,-1.250087052E0,-2.316815946E0
4.644569833E0,-1.440501922E0,-1.161143373E0,-2.131631702E0
4.664485833E0,-9.307293820E-1,-1.007500473E0,-1.680049483E0
