"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.916631296E1,-1.786965561E1,4.104536438E1,-3.019390869E1
4.918622996E1,-1.815573502E1,4.127019119E1,-3.048118591E1
4.920614696E1,-1.875736046E1,4.086884308E1,-2.937443542E1
4.922606396E1,-1.838053131E1,4.136666870E1,-3.024699402E1
4.924598096E1,-1.850895882E1,4.142353058E1,-3.016021729E1
4.926589796E1,-1.874972916E1,4.133446121E1,-3.035487366E1
4.928581496E1,-1.890627670E1,4.163014984E1,-3.089692688E1
4.930573196E1,-1.940196228E1,4.166084671E1,-3.064639282E1
4.932564896E1,-1.924410248E1,4.191391754E1,-3.082310486E1
4.934556596E1,-1.940189171E1,4.194163513E1,-3.146478271E1
4.936548296E1,-1.890686226E1,4.195583725E1,-3.131680298E1
4.938539996E1,-1.904719543E1,4.246279144E1,-3.139344788E1
4.940531696E1,-1.876992798E1,4.272006226E1,-3.145263672E1
4.942523396E1,-1.851211166E1,4.285993195E1,-3.095953369E1
4.944515096E1,-1.799396896E1,4.338316345E1,-3.162910461E1
4.946506896E1,-1.739569473E1,4.337990570E1,-3.160723877E1
4.948498596E1,-1.632373810E1,4.337886810E1,-3.200555420E1
4.950490296E1,-1.503414917E1,4.405605316E1,-3.214822388E1
4.952481996E1,-1.436348343E1,4.457060623E1,-3.189813232E1
4.954473696E1,-1.323949814E1,4.493203735E1,-3.220880127E1
4.956465396E1,-1.198216820E1,4.518048477E1,-3.208883667E1
4.958457096E1,-1.116666603E1,4.561938095E1,-3.236566162E1
4.960448796E1,-1.058023453E1,4.576731110E1,-3.222593689E1
4.962440496E1,-1.017716599E1,4.615645599E1,-3.148670959E1
4.964432196E1,-1.013462830E1,4.627840805E1,-3.213211060E1
4.966423896E1,-9.222375870E0,4.644387817E1,-3.205718994E1
4.968415596E1,-8.905664444E0,4.680128479E1,-3.254039001E1
4.970407296E1,-8.356475830E0,4.692745590E1,-3.249056244E1
4.972398996E1,-7.972299576E0,4.735105133E1,-3.235695648E1
4.974390696E1,-7.608688354E0,4.735983276E1,-3.250082397E1
