"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.058364959E0,1.171601415E-1,-3.123952448E-1,-2.995142639E-1
3.078281959E0,1.285667717E-1,-3.271209896E-1,-2.976865172E-1
3.098198959E0,9.860153496E-2,-2.888397872E-1,-2.913408577E-1
3.118115958E0,1.110806689E-1,-1.855614781E-1,-3.205535412E-1
3.138032958E0,1.637203991E-1,-9.452148527E-2,-3.573787212E-1
3.157949958E0,2.029544562E-1,-1.224347483E-2,-3.584955335E-1
3.177866959E0,2.534893155E-1,4.698264599E-2,-3.276795149E-1
3.197783959E0,3.262935877E-1,6.966999173E-2,-3.017591238E-1
3.217700959E0,3.661949933E-1,3.752243146E-2,-2.843702435E-1
3.237617958E0,3.509759307E-1,-1.974775456E-3,-2.473196834E-1
3.257533959E0,3.593606353E-1,-6.707525998E-2,-1.691196859E-1
3.277450958E0,3.704549670E-1,-2.120032012E-1,-8.232898265E-2
3.297367958E0,4.288547933E-1,-3.490144610E-1,-1.046793908E-2
3.317284958E0,4.739227891E-1,-3.667722046E-1,5.411754921E-2
3.337201959E0,3.768215477E-1,-3.691029847E-1,1.449105591E-1
3.357118959E0,2.866247594E-1,-3.382351995E-1,2.865842879E-1
3.377035959E0,2.306852639E-1,-1.976950914E-1,3.867121637E-1
3.396952958E0,1.975124925E-1,-7.329949178E-3,4.010648429E-1
3.416869958E0,1.441143602E-1,2.331472039E-1,4.002809227E-1
3.436786958E0,9.729945660E-2,4.562698007E-1,4.001554847E-1
3.456703959E0,1.086470410E-1,6.363374591E-1,4.347058833E-1
3.476619958E0,1.422754377E-1,7.425997853E-1,4.760084450E-1
3.496536958E0,1.724533290E-1,7.624259591E-1,5.116678476E-1
3.516453959E0,2.075729966E-1,7.408164144E-1,5.362555385E-1
3.536370959E0,2.419254333E-1,6.816095114E-1,5.447170138E-1
3.556287958E0,2.407836467E-1,5.917184353E-1,5.555149913E-1
3.576204958E0,1.797374487E-1,5.104306340E-1,5.649141669E-1
3.596121958E0,1.378769130E-1,4.455069304E-1,5.849505663E-1
3.616038959E0,1.406284273E-1,4.020362496E-1,5.861958265E-1
3.635955959E0,1.602223217E-1,3.607976437E-1,5.743995309E-1
3.655872959E0,1.798487604E-1,2.989086211E-1,5.152648687E-1
3.675789958E0,1.666353792E-1,1.896910667E-1,3.894570470E-1
3.695705959E0,2.182295471E-1,1.202391982E-1,1.853965223E-1
3.715622958E0,2.548164725E-1,-4.656890407E-3,-4.766719043E-2
3.735539292E0,1.923031360E-1,-9.134104848E-2,-2.443471253E-1
3.755456292E0,8.476685733E-3,-1.408856511E-1,-3.852977455E-1
3.775373292E0,-1.908826977E-1,-1.689044982E-1,-4.833565950E-1
3.795290292E0,-2.862728834E-1,-3.854044676E-1,-5.722875595E-1
3.815207292E0,-3.291595876E-1,-6.460531354E-1,-6.024997234E-1
3.835124292E0,-3.291883767E-1,-9.421796203E-1,-6.199769974E-1
3.855041292E0,-2.174116224E-1,-1.161300421E0,-6.245620847E-1
3.874958292E0,-8.263515681E-2,-1.198369503E0,-6.540642381E-1
3.894874292E0,5.142452568E-2,-1.039307237E0,-7.093065977E-1
3.914791292E0,4.964414611E-2,-6.787820458E-1,-7.450412512E-1
3.934708292E0,-5.628940091E-2,-1.868212223E-1,-7.445980310E-1
3.954625292E0,-7.768754661E-2,5.638493598E-2,-7.572191954E-1
3.974542292E0,-1.928656697E-1,2.959396541E-1,-7.505148053E-1
3.994459292E0,-2.737434804E-1,4.975492060E-1,-7.310790420E-1
4.014376292E0,-2.912879586E-1,6.155074835E-1,-7.370986938E-1
4.034293292E0,-3.006277084E-1,6.494878531E-1,-7.941399813E-1
4.054210292E0,-2.875826657E-1,6.449248791E-1,-8.161109090E-1
4.074127292E0,-2.516360581E-1,6.166039705E-1,-7.968135476E-1
4.094044292E0,-2.079472691E-1,5.987806916E-1,-7.864379883E-1
4.113960292E0,-1.024631783E-1,5.843061805E-1,-7.529255748E-1
4.133877292E0,1.468952559E-2,5.080581307E-1,-7.088790536E-1
4.153794292E0,-1.099567860E-2,3.067166209E-1,-6.406050324E-1
4.173711292E0,-6.109530479E-2,2.481806129E-1,-5.647363067E-1
4.193628292E0,-9.373334795E-2,1.554844081E-1,-5.248681903E-1
4.213545292E0,8.839233965E-2,1.128330380E-1,-4.401167333E-1
4.233462292E0,2.079435289E-1,3.698532656E-2,-2.522895634E-1
4.253379292E0,2.762475014E-1,-7.521500811E-4,-9.965474904E-2
4.273296292E0,3.294252157E-1,4.409454018E-2,-7.622836623E-3
4.293213292E0,4.071423113E-1,-8.889851160E-3,1.014708355E-1
4.313129292E0,5.527666211E-1,-2.309879810E-1,2.535187006E-1
4.333046292E0,6.507067084E-1,-4.976308942E-1,3.536947966E-1
4.352963292E0,6.329881549E-1,-7.904046774E-1,3.382204771E-1
4.372880292E0,5.462213755E-1,-9.143567085E-1,3.009783626E-1
4.392797292E0,3.864993155E-1,-8.137273192E-1,2.293488532E-1
4.412714292E0,2.513018548E-1,-5.947800875E-1,1.544648111E-1
4.432631292E0,1.136495098E-1,-3.597460985E-1,9.552033246E-2
4.452548292E0,-2.226465195E-2,-1.546611190E-1,1.315225363E-1
4.472465292E0,-1.334127039E-1,7.967248559E-3,2.251505554E-1
4.492382292E0,-2.232170403E-1,1.094556078E-1,3.322739005E-1
4.512299292E0,-2.678769529E-1,1.463838220E-1,4.237449169E-1
4.532216292E0,-2.377889901E-1,1.400162429E-1,4.543687403E-1
4.552133292E0,-1.618845463E-1,1.555487663E-1,4.337857664E-1
4.572049292E0,-1.083625108E-1,2.539394796E-1,3.813342452E-1
