"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.530292917E0,9.606457502E-2,-1.600394100E-1,2.388544381E-1
3.550209917E0,1.537234187E-1,-2.958260104E-2,1.626954824E-1
3.570126917E0,1.823544800E-1,6.617972255E-2,1.171131060E-1
3.590043917E0,1.515289992E-1,1.297464669E-1,9.618303925E-2
3.609959917E0,9.468079358E-2,1.802856773E-1,1.201861054E-1
3.629876917E0,4.901849478E-2,1.715425104E-1,1.759087741E-1
3.649793917E0,2.324428037E-2,1.109178588E-1,2.201967239E-1
3.669710917E0,2.253533714E-2,-9.131602012E-3,2.374545634E-1
3.689627917E0,3.974259272E-2,-9.995998442E-2,2.246143818E-1
3.709544917E0,8.541413397E-2,-1.228215471E-1,1.959928721E-1
3.729461917E0,1.277822554E-1,-7.744987309E-2,1.495046020E-1
3.749378459E0,1.495856494E-1,1.874336600E-2,8.603908122E-2
3.769295459E0,1.437951624E-1,1.350211799E-1,-2.446188126E-3
3.789212459E0,1.333489269E-1,2.338200659E-1,-9.468264133E-2
3.809128459E0,9.379039705E-2,3.028974533E-1,-1.760141253E-1
3.829045459E0,6.339430809E-2,3.094138503E-1,-2.363893241E-1
3.848962458E0,6.853533536E-2,2.350471765E-1,-2.636403739E-1
3.868879458E0,7.152413577E-2,1.080849916E-1,-2.548575401E-1
3.888796458E0,3.511118703E-3,-1.238649990E-2,-2.153281122E-1
3.908713459E0,-1.140470654E-1,-9.560121596E-2,-1.539108306E-1
3.928630459E0,-2.371231914E-1,-9.959906340E-2,-9.092773497E-2
3.948547459E0,-3.549570739E-1,-7.580026984E-2,-5.564830825E-2
3.968464458E0,-4.612239003E-1,-1.487657726E-1,-7.065828145E-2
3.988380459E0,-5.592089295E-1,-2.816009223E-1,-1.002060473E-1
4.008297459E0,-5.611901283E-1,-4.049919844E-1,-7.635475695E-2
4.028214458E0,-4.533430338E-1,-4.465692937E-1,3.107406944E-2
4.048131458E0,-3.481327295E-1,-4.108124971E-1,1.385456771E-1
4.068048459E0,-2.931588888E-1,-3.347645402E-1,2.046353370E-1
4.087965459E0,-2.868140936E-1,-2.489570379E-1,2.038450539E-1
4.107882459E0,-3.080141842E-1,-1.487735063E-1,1.429387033E-1
4.127799458E0,-2.583771646E-1,-3.172248602E-2,3.793530539E-2
4.147716458E0,-1.790957451E-1,1.172142401E-1,-1.126214415E-1
4.167632459E0,-1.302101016E-1,2.521025240E-1,-2.734105587E-1
4.187549458E0,-9.265144914E-2,3.703108728E-1,-3.909716904E-1
4.207466458E0,-7.536502928E-2,4.206240773E-1,-4.497957528E-1
4.227383459E0,-8.326357603E-2,3.865360618E-1,-4.611915350E-1
4.247300459E0,-6.143185869E-2,3.157168627E-1,-4.332439005E-1
4.267217459E0,-2.824109979E-4,2.798858583E-1,-3.481900096E-1
4.287134459E0,6.328464299E-2,2.417923361E-1,-2.369730920E-1
4.307051458E0,7.526819408E-2,2.071349323E-1,-1.321171075E-1
4.326968458E0,6.776259840E-2,1.943675429E-1,-3.313900530E-2
4.346885459E0,7.497712970E-2,2.272076458E-1,4.532784224E-2
4.366801458E0,7.666944712E-2,2.320224941E-1,8.901660889E-2
4.386718458E0,4.279599711E-2,1.863809973E-1,1.196558699E-1
