"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.837272792E0,1.532064056E0,1.331032104E0,8.982820129E0
5.857189792E0,1.724264374E0,7.682025146E-1,8.157436523E0
5.877106792E0,2.069296875E0,4.213737488E-1,7.783214722E0
5.897023792E0,2.469863892E0,8.517288208E-2,7.916287994E0
5.916940792E0,2.612816620E0,-1.266366577E-1,8.051606598E0
5.936857792E0,2.565514984E0,-6.242019653E-2,8.131091309E0
5.956773792E0,2.375559998E0,3.125500488E-1,7.985893250E0
5.976690792E0,2.095791779E0,7.458988953E-1,7.971822510E0
5.996607792E0,1.980830841E0,9.759704590E-1,8.648415527E0
6.016524792E0,2.010469208E0,1.082997894E0,9.524094543E0
6.036441792E0,2.245330811E0,9.647438049E-1,9.865833893E0
6.056358792E0,2.704875183E0,7.523355103E-1,9.961335297E0
6.076275792E0,3.252735901E0,5.557942200E-1,9.596094818E0
6.096192792E0,3.915557556E0,5.580395508E-1,9.575587463E0
6.116109792E0,4.137246552E0,4.936734009E-1,9.848619690E0
6.136025792E0,4.023782501E0,2.094145203E-1,9.720935211E0
6.155942792E0,4.092639313E0,2.652484131E-1,1.032163605E1
6.175859792E0,4.167184296E0,2.392025757E-1,1.021685394E1
6.195776792E0,3.986510010E0,2.778222656E-1,1.111109436E1
6.215693792E0,2.762954407E0,4.004173279E-1,1.189231979E1
6.235610792E0,1.654659119E0,5.629792786E-1,1.288445663E1
6.255527792E0,7.179071045E-1,6.393205261E-1,1.306213715E1
6.275444792E0,3.318598938E-1,-8.846603394E-2,1.247191452E1
6.295361792E0,5.507048035E-1,-6.912625122E-1,1.151136200E1
6.315277792E0,1.019529877E0,-8.792715454E-1,1.046967819E1
6.335194792E0,1.658551025E0,-7.092251587E-1,9.701475677E0
6.355111792E0,2.322121124E0,-8.906478882E-2,8.848100281E0
6.375028792E0,2.719095612E0,5.757028198E-1,8.216713257E0
6.394945792E0,2.564467163E0,7.920030212E-1,7.998018036E0
6.414862792E0,2.148332520E0,7.307803345E-1,7.566764832E0
6.434779792E0,1.863923950E0,5.640270996E-1,7.150031433E0
6.454696792E0,1.703457642E0,5.448669434E-1,6.931336212E0
6.474613792E0,1.321152649E0,7.999365234E-1,7.336393890E0
6.494529792E0,1.274599457E0,1.179996185E0,7.926616516E0
6.514446792E0,1.393751678E0,1.563049622E0,8.445587311E0
6.534363792E0,1.730102234E0,1.380728760E0,8.628656616E0
6.554280792E0,2.496508484E0,1.039737854E0,8.850794678E0
6.574197792E0,3.615731049E0,9.556127930E-1,9.292526093E0
6.594114792E0,4.571194153E0,6.929090881E-1,9.334289246E0
6.614031792E0,4.240082703E0,4.555027771E-1,9.258397064E0
6.633948792E0,4.125421143E0,3.600013733E-1,9.336384888E0
6.653864792E0,4.300706635E0,7.071295166E-1,1.019095779E1
6.673781792E0,4.292324066E0,8.196954346E-1,1.060784088E1
6.693698792E0,3.946243744E0,5.026547241E-1,1.051473450E1
6.713615792E0,3.723506927E0,1.755848694E-1,1.034693344E1
6.733532792E0,4.437222748E0,3.378474426E-1,1.041174866E1
6.753449417E0,4.893473969E0,1.062640228E0,9.929002533E0
6.773366417E0,3.157084808E0,1.691931610E0,9.840237122E0
6.793283417E0,1.568588104E0,1.935624847E0,1.052611084E1
6.813200417E0,4.333488464E-1,2.143542480E0,1.054227722E1
6.833116417E0,6.081852722E-1,2.720742188E0,1.002061203E1
6.853033417E0,1.478924561E0,3.091072083E0,9.695488129E0
6.872950417E0,2.177821198E0,3.095113678E0,9.747729492E0
6.892867417E0,2.186652832E0,2.831960907E0,9.803713074E0
6.912784417E0,1.790875854E0,2.188449097E0,9.353898468E0
6.932701417E0,1.599274292E0,1.457369385E0,8.497978363E0
6.952618417E0,2.002535706E0,1.124910736E0,7.343728638E0
6.972535417E0,2.566862183E0,9.828561401E-1,6.703809357E0
6.992452417E0,2.787952423E0,9.446855164E-1,7.619754639E0
7.012368417E0,3.285517731E0,1.083297272E0,7.749085693E0
7.032285417E0,3.179089050E0,1.113684082E0,7.512577515E0
7.052202417E0,2.808609467E0,1.225950623E0,7.561376038E0
7.072119417E0,2.310146027E0,1.342408447E0,7.862250366E0
7.092036417E0,2.381098480E0,1.557511139E0,7.999365234E0
7.111953417E0,2.708018646E0,1.670077057E0,8.084089050E0
