"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.446469459E0,-8.142236328E2,7.462933350E2,-5.269435120E1
4.466386458E0,-8.145048218E2,7.464535522E2,-5.239952850E1
4.486303458E0,-8.146065674E2,7.469724731E2,-5.202606964E1
4.506220459E0,-8.152018433E2,7.470937500E2,-5.171203613E1
4.526137459E0,-8.150305176E2,7.470554199E2,-5.151277924E1
4.546053458E0,-8.159320068E2,7.471858521E2,-5.123289490E1
4.565970459E0,-8.166693726E2,7.478060913E2,-5.092762756E1
4.585887459E0,-8.172423096E2,7.485444946E2,-5.012779236E1
4.605804459E0,-8.175170898E2,7.485770874E2,-4.946386719E1
4.625721458E0,-8.181033936E2,7.481654053E2,-4.896382904E1
4.645638458E0,-8.182844849E2,7.482340698E2,-4.876780701E1
4.665555459E0,-8.184600220E2,7.480809937E2,-4.851271820E1
4.685472459E0,-8.190899658E2,7.484314575E2,-4.796004486E1
4.705389459E0,-8.190736084E2,7.481661377E2,-4.811190033E1
4.725306459E0,-8.195424805E2,7.480908203E2,-4.773641205E1
4.745222542E0,-8.195507812E2,7.481856689E2,-4.817893219E1
4.765139542E0,-8.190449219E2,7.484566040E2,-4.815679169E1
4.785056542E0,-8.190456543E2,7.485690918E2,-4.855750275E1
4.804973542E0,-8.196519775E2,7.485945435E2,-4.865392303E1
4.824890542E0,-8.199179688E2,7.486200562E2,-4.818908691E1
4.844807542E0,-8.202960815E2,7.489860840E2,-4.807455444E1
4.864724542E0,-8.201571655E2,7.486596069E2,-4.811049652E1
4.884641542E0,-8.205083008E2,7.490443726E2,-4.779766846E1
4.904557542E0,-8.200879517E2,7.490011597E2,-4.817942810E1
4.924474542E0,-8.201403809E2,7.487864380E2,-4.831490326E1
4.944391542E0,-8.199832764E2,7.488375854E2,-4.845063019E1
4.964308542E0,-8.199388428E2,7.487893066E2,-4.830499268E1
4.984225542E0,-8.201250000E2,7.492080078E2,-4.765019989E1
5.004142542E0,-8.199456787E2,7.490729980E2,-4.725992584E1
5.024059542E0,-8.205053101E2,7.492677612E2,-4.616689301E1
5.043976542E0,-8.205083008E2,7.487269287E2,-4.583004761E1
5.063893542E0,-8.208856201E2,7.490866089E2,-4.565164185E1
5.083810542E0,-8.213867798E2,7.493645630E2,-4.511472321E1
5.103726542E0,-8.210632324E2,7.491990356E2,-4.457397461E1
5.123643542E0,-8.208666382E2,7.486414185E2,-4.461113739E1
5.143560542E0,-8.205618286E2,7.480937500E2,-4.453108215E1
5.163477542E0,-8.203571167E2,7.471018066E2,-4.482052612E1
5.183394542E0,-8.196784058E2,7.462816162E2,-4.432096863E1
5.203311542E0,-8.194577026E2,7.457191162E2,-4.422933960E1
5.223228542E0,-8.195779419E2,7.449727783E2,-4.423911285E1
5.243145542E0,-8.194698486E2,7.448126831E2,-4.449313354E1
5.263062542E0,-8.192174683E2,7.441890869E2,-4.424973297E1
5.282978542E0,-8.185820923E2,7.436234131E2,-4.406421661E1
5.302895542E0,-8.180668335E2,7.436714478E2,-4.476734924E1
5.322812542E0,-8.177653198E2,7.430419312E2,-4.451116180E1
5.342729542E0,-8.169947510E2,7.425133057E2,-4.493919373E1
5.362646542E0,-8.167570801E2,7.419647217E2,-4.507038116E1
5.382563542E0,-8.161937256E2,7.411516113E2,-4.508629608E1
5.402480542E0,-8.156116943E2,7.408378906E2,-4.552320862E1
5.422397542E0,-8.152492065E2,7.398274536E2,-4.581813049E1
5.442314542E0,-8.149708862E2,7.401480713E2,-4.554203033E1
5.462230542E0,-8.151138916E2,7.393540039E2,-4.553783417E1
5.482147542E0,-8.147021484E2,7.392933350E2,-4.545293427E1
5.502064542E0,-8.146630859E2,7.395120850E2,-4.527935791E1
5.521981542E0,-8.146690674E2,7.391035767E2,-4.536476135E1
5.541898542E0,-8.150516357E2,7.396479492E2,-4.484481049E1
5.561815542E0,-8.153524170E2,7.399526978E2,-4.449101257E1
5.581732542E0,-8.158965454E2,7.403464966E2,-4.409751129E1
5.601649542E0,-8.161215820E2,7.405640259E2,-4.404763794E1
5.621566542E0,-8.164958496E2,7.413298340E2,-4.369872284E1
5.641482542E0,-8.173499756E2,7.418140259E2,-4.314587402E1
5.661399542E0,-8.178281860E2,7.429325562E2,-4.293074036E1
5.681316542E0,-8.193088379E2,7.438786621E2,-4.276912689E1
5.701233542E0,-8.197827148E2,7.443540649E2,-4.233679199E1
5.721150542E0,-8.199607544E2,7.446071777E2,-4.206663513E1
5.741067542E0,-8.200606079E2,7.447389526E2,-4.188277435E1
5.760984792E0,-8.201138916E2,7.454447632E2,-4.260572052E1
5.780901792E0,-8.209000854E2,7.462993774E2,-4.267542267E1
5.800818792E0,-8.216536255E2,7.475912476E2,-4.272372437E1
5.820734792E0,-8.222681885E2,7.484968872E2,-4.327001190E1
5.840651792E0,-8.230265503E2,7.493143921E2,-4.369571686E1
5.860568792E0,-8.233305054E2,7.505981445E2,-4.404543304E1
5.880485792E0,-8.238905029E2,7.517820435E2,-4.470299530E1
5.900402792E0,-8.241406250E2,7.527710571E2,-4.488757324E1
5.920319792E0,-8.245014038E2,7.533275757E2,-4.519707489E1
5.940236792E0,-8.241466064E2,7.535534668E2,-4.501044464E1
5.960153792E0,-8.243452148E2,7.540108643E2,-4.531735992E1
5.980070792E0,-8.245090332E2,7.540563354E2,-4.555811310E1
5.999986792E0,-8.243017578E2,7.542691650E2,-4.540241241E1
6.019903792E0,-8.247930908E2,7.542037354E2,-4.537410736E1
6.039820792E0,-8.253969116E2,7.544055786E2,-4.557630920E1
6.059737792E0,-8.250959473E2,7.550432129E2,-4.564395905E1
6.079654792E0,-8.258339233E2,7.557242432E2,-4.515589142E1
6.099571792E0,-8.262517090E2,7.562531128E2,-4.544872284E1
6.119488792E0,-8.267969971E2,7.568405151E2,-4.539516449E1
6.139405792E0,-8.274140625E2,7.571224365E2,-4.478773499E1
6.159322792E0,-8.278269043E2,7.571056519E2,-4.429208374E1
6.179238792E0,-8.281698608E2,7.576939087E2,-4.355115509E1
